"Unidade da Federação";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"11 Rondônia";4;23;-;159;-;-;18;-;-;36;-;-;-;-;41;6;-;-;287
"12 Acre";-;31;-;33;-;-;11;-;-;15;-;-;-;-;16;13;4;10;133
"13 Amazonas";12;149;11;166;-;-;112;1;-;59;-;-;10;-;73;52;20;26;691
"14 Roraima";-;26;-;17;-;-;10;-;-;8;-;-;-;-;20;6;-;-;87
"15 Pará";20;202;-;342;6;-;104;-;-;164;-;2;10;-;186;16;6;23;1081
"16 Amapá";-;21;8;4;-;-;5;-;-;20;-;-;-;-;18;6;5;4;91
"17 Tocantins";9;16;-;73;-;-;21;-;-;38;-;12;1;-;45;13;-;7;235
"21 Maranhão";13;136;-;278;25;-;42;10;-;132;-;-;-;-;56;28;8;56;784
"22 Piauí";15;63;14;108;18;-;20;2;-;57;-;-;-;-;53;21;5;16;392
"23 Ceará";25;96;13;373;44;-;97;-;-;175;-;-;30;-;263;42;7;78;1243
"24 Rio Grande do Norte";-;39;4;188;19;-;33;-;-;91;-;-;-;-;30;40;-;29;473
"25 Paraíba";2;102;37;241;12;20;52;4;4;59;-;6;20;-;56;31;-;25;671
"26 Pernambuco";56;122;1;667;87;-;95;23;-;116;18;2;18;-;124;53;6;16;1404
"27 Alagoas";-;27;22;124;30;-;32;9;-;75;9;-;-;10;131;17;2;-;488
"28 Sergipe";-;23;12;124;10;-;17;3;-;-;64;-;-;-;60;27;1;7;348
"29 Bahia";-;244;-;732;42;-;127;4;-;220;-;4;27;-;155;68;17;132;1772
"31 Minas Gerais";6;251;7;1935;71;-;167;27;-;582;10;14;45;-;236;91;5;31;3478
"32 Espírito Santo";5;51;-;318;-;-;23;-;-;120;-;9;15;-;49;18;1;32;641
"33 Rio de Janeiro";30;194;165;879;131;34;94;24;16;294;71;10;10;-;222;60;42;336;2612
"35 São Paulo";112;527;81;2317;1108;7;418;302;-;852;304;62;20;18;786;173;12;246;7345
"41 Paraná";1;229;8;964;246;-;91;81;-;327;93;10;24;-;140;20;6;63;2303
"42 Santa Catarina";5;167;9;494;30;6;78;3;-;150;7;8;-;-;47;19;2;2;1027
"43 Rio Grande do Sul";3;270;2;666;317;-;113;80;-;272;80;4;4;8;204;98;11;56;2188
"50 Mato Grosso do Sul";6;35;-;132;57;-;23;10;-;46;8;-;10;-;62;13;-;1;403
"51 Mato Grosso";-;99;-;179;19;-;18;-;-;85;-;-;6;-;23;14;12;32;487
"52 Goiás";21;130;13;503;-;8;85;-;-;117;-;9;9;-;10;5;16;43;969
"53 Distrito Federal";-;14;-;129;52;-;59;11;-;33;54;6;-;-;25;-;-;-;383
"Total";345;3287;407;12145;2324;75;1965;594;20;4143;718;158;259;36;3131;950;188;1271;32016

